Timestamp,PlateNumber,DetectionScore,OcrConfidence,CombinedScore
2025-09-07T08:17:31.255663+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:31.289106+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:31.367042+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:31.407151+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:31.510563+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:31.543874+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:31.580954+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:31.624565+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:31.659507+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:31.695093+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:31.765674+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:31.809645+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:31.855162+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:31.890610+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:31.962999+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:32.009722+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:32.061333+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:32.093112+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:32.163150+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:32.208739+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:32.254494+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:32.292608+00:00,GJ36AJ8335,0.85,0.991,0.9205
